ID,URL,HEADLINE,AUTHOR,DATE
0,https://www.theverge.com/2022/9/7/23341577/applecare-plus-unlimited-iphone-mac-ipad-airpods-watch-repairs,Klutzes rejoice: AppleCare Plus now covers unlimited repairs,Mitchell Clark,2022-09-10T01:46:02
1,https://www.theverge.com/2022/9/9/23345067/valve-steam-deck-repair-center-fix,Valve now has repair centers that can fix your Steam Deck,Jay Peters,2022-09-09T22:31:25
2,https://www.theverge.com/2022/9/9/23345000/icloud-shared-photo-library-delayed-ios-16,iCloud Shared Photo Library won’t launch with iOS 16,Mitchell Clark,2022-09-09T21:29:56
3,https://www.polygon.com/23344824/reigen-arataka-toby-fox-fan-fic-undertale-sans-tumblr-sexyman,"Sans from Undertale won the Tumblr Sexyman poll, and I haven’t known peace since ",Ana Diaz,2022-09-09T20:38:05
4,https://www.theverge.com/2022/9/9/23344308/iphone-14-preorder-apple-store-errors-shipping,Apple Store errors tripped up many iPhone 14 preorder attempts,Umar Shakir,N/A
5,https://www.theverge.com/2022/9/9/23344694/apple-airpods-personalized-spatial-audio-sony-ear-scanning,Apple’s personalized spatial audio trick is really a Sony idea,Chris Welch,2022-09-09T19:45:17
6,https://www.theverge.com/2022/9/9/23344749/interview-with-the-vampire-trailer-anne-rice,Check out Interview with the Vampire’s newest trailer,Ash Parrish,2022-09-09T18:01:26
7,https://www.theverge.com/2022/9/8/23320934/sony-playstation-5-ps5-console-restock-public-queue-availability-inventory-check,You can still get a PlayStation 5 bundle from Sony and Walmart without standing in line,Sheena Vasani,2022-09-09T17:48:16
8,https://www.theverge.com/2022/9/9/23342840/logitech-webcam-logi-capture-tune-g-hub-software-m2-m1-mac,Logitech’s webcam software is a mess,Cameron Faulkner,2022-09-09T11:00:00
9,https://www.theverge.com/2022/9/9/23344611/google-chromecast-1080p-design-leak,Google’s HD Chromecast will probably look a lot like the 4K one ,Mitchell Clark,2022-09-09T17:44:18
10,https://www.voxmedia.com/careers,"We're building great things, and we need your talent.",N/A,N/A
11,https://www.theverge.com/23344595/philips-hue-apple-homekit-connect-how-to,How to connect Philips Hue with Apple HomeKit ,Jennifer Pattison Tuohy,2022-09-09T17:32:08
12,https://www.theverge.com/2022/9/9/23344263/intel-arc-graphics-cards-desktop-gaming-gpu-specs,Intel reveals the specs of its new Arc graphics cards,Alice Newcome-Beill,2022-09-09T16:59:01
13,https://www.theverge.com/2022/9/8/23343336/apple-tim-cook-imessage-blue-green-bubbles-texting-rcs,Tim Cook revealed the real reason Apple won’t fix green bubbles,Jay Peters,2022-09-08T20:01:36
14,https://www.theverge.com/23320607/iphone-14-plus-pro-max-preorder-buy-price-release-date-apple,How to preorder the iPhone 14,Cameron Faulkner,2022-09-09T16:35:32
15,https://www.theverge.com/2022/9/9/23344441/quentin-tarantino-pulp-fiction-nft-miramax-lawsuit-settled,Quentin Tarantino settles NFT lawsuit with Miramax,Adi Robertson,2022-09-09T16:11:03
16,https://www.theverge.com/2022/8/23/23318956/acer-chromebook-vero-514-eco-conscious-laptop-recycling,Acer’s Vero 514 brings its ‘eco-conscious’ concept to a Chromebook,Mitchell Clark,2022-09-09T16:10:41
17,https://www.theverge.com/2022/9/9/23344547/call-of-duty-next-activision-warzone-2-modern-warfare-2,Call of Duty Next event will showcase the future of the franchise,Ash Parrish,N/A
18,https://www.theverge.com/2022/9/8/23342908/apple-satellite-sos-globalstar-business-ast-lynk-spacex,How Apple’s iPhone 14 satellite link puts it up against SpaceX and others,Mitchell Clark,2022-09-08T20:36:31
19,https://www.theverge.com/2022/9/9/23344349/lausd-warned-ransomware-threat-trickbot,LA school district was warned of ransomware threat before recent shutdown,Corin Faife,2022-09-09T15:27:09
20,https://www.theverge.com/23344325/chromebook-chrome-os-android-app-uninstall-how-to,How to uninstall apps from a Chromebook,Monica Chin,2022-09-09T15:01:40
21,https://www.theverge.com/good-deals/2022/9/9/23343420/samsung-galaxy-buds-2-pro-govee-dreamview-g1-pro-gaming-light-samsung-m8-smart-monitor-deal-sale,Samsung’s new Galaxy Buds 2 Pro are $50 off,Sheena Vasani,2022-09-09T14:54:30
22,https://www.theverge.com/2022/9/9/23342981/united-airlines-eve-air-mobililty-investment-taxi-evtol,"United Airlines invests $15 million in electric aviation startup, orders 200 air taxis",Andrew J. Hawkins,2022-09-09T14:08:09
23,https://www.theverge.com/23341046/apple-iphone-14-plus-pro-max-notch-event-announcements-watch-8-se-ultra-airpods-pro,Apple’s iPhone 14 event: the 9 biggest announcements,Emma Roth,2022-09-07T18:57:44
24,https://www.theverge.com/23344081/fujifilm-xh2-xh2s-mirrorless-camera-xf50mm-gf2035mm-lens-hands-on-impressions,Hands-on with Fujifilm’s new 40.2-megapixel X-H2 camera,Antonio G. Di Benedetto,2022-09-09T13:30:48
25,https://www.theverge.com/23323757/apple-airpods-pro-new-second-gen-preorder-buy-price-release-date,How to preorder new AirPods Pro,Alice Newcome-Beill,2022-09-09T12:49:33
26,https://www.theverge.com/2022/9/8/23342614/asus-rog-6-gaming-phone-preorder-north-america,Asus’ ROG 6 Android gaming phones are available for preorder in North America,Alice Newcome-Beill,2022-09-09T12:30:00
27,https://www.theverge.com/2022/9/9/23344147/android-phone-call-noise-cancelation-beta,Google is working on ‘clear calling’ for Android phone calls,Thomas Ricker,2022-09-09T10:37:50
28,https://www.theverge.com/2022/9/8/23339186/gm-chevy-equinox-ev-announce-price-specs-suv,The 2024 Chevy Equinox EV is priced to be everyone’s first electric vehicle,Andrew J. Hawkins,2022-09-08T13:22:11
29,https://www.theverge.com/2022/9/8/23343752/apple-watch-ultra-repair-price-battery-replacement,Apple Watch Ultra repairs could be ultra-expensive without AppleCare,Mitchell Clark,2022-09-09T00:58:14
30,https://www.theverge.com/2022/9/8/23343755/black-adam-new-trailer-dwayne-johnson-hero,New Black Adam trailer hints he could end up as a hero after all,Jay Peters,N/A
31,https://www.theverge.com/2022/9/8/23343550/apple-iphone-14-watch-8-price-increase-uk-eu-japan-china,Apple did raise prices with the iPhone 14 and Watch Series 8 — just not in the US or China,Mitchell Clark,2022-09-09T00:09:44
32,https://www.theverge.com/2022/9/8/23343358/microsoft-taskbar-windows-11-2-in-1-tablet,Microsoft is testing its tablet-friendly taskbar again in Windows 11,Jasmine Hicks,2022-09-08T22:54:03
33,https://www.theverge.com/23319085/iphone-14-vs-13-plus-pro-max-mini-comparison-specs-price-apple,How the iPhone 14 and 14 Plus compare to the Pro models — and the iPhone 13,Sheena Vasani,2022-09-08T21:54:53
34,https://www.theverge.com/23338833/iphone-14-pro-max-hands-on-notch-features-apple-event,Hands-on with the iPhone 14 Pro and iPhone 14 Pro Max,Tom Warren,2022-09-07T19:02:46
35,https://www.theverge.com/2022/9/8/23343316/ea-battlefield-narrative-campaign-ridgeline-games-marcus-lehto,EA’s working on a new ‘narrative campaign’ for Battlefield,Jay Peters,2022-09-08T21:33:27
36,https://www.theverge.com/2022/9/8/23340894/netflix-lucky-luna-platform-game-iphone-android,Netflix’s latest game is a fresh take on platformers,Andrew Webster,2022-09-08T21:25:25
37,https://www.theverge.com/2022/9/8/23342873/overwatch-2-new-hero-battle-pass-progression-kiriko,Overwatch 2’s new heroes won’t be free,Ash Parrish,2022-09-08T19:25:04
38,https://www.theverge.com/2022/9/8/23342074/fujifilm-xh2-mirrorless-camera-xf56-gf2035-lens-price-specs-availability,Fujifilm’s new X-H2 finally pushes its APS-C camera system to higher resolution,Antonio G. Di Benedetto,2022-09-08T19:00:00
